block,species,chr,chr_beg,chr_end,orientation
237,NZ_CP006746.1,1,129976,137017,+
237,NZ_CP010248.1,1,98976,106017,+
236,NZ_CP006746.1,1,13170,25584,+
236,NZ_CP010248.1,1,119188,131602,+
235,NZ_CP006746.1,1,1,11848,+
235,NZ_CP010248.1,1,106019,117866,+
234,NZ_CP009702.1,1,92886,98952,+
234,NC_003134.1,1,89814,95881,+
234,NC_014022.1,1,57592,63658,-
234,NZ_CP006790.1,1,85364,91431,+
234,NZ_CP033692.1,1,86764,92831,+
234,NZ_CP006746.1,1,109141,115207,-
234,NC_005815.1,1,63930,69986,-
234,NZ_CP033693.1,1,41855,47916,+
234,NZ_CP045164.1,1,11106,17172,-
234,NZ_CP009722.1,1,34665,40731,-
234,NC_010158.1,1,83687,89753,-
234,NZ_CP045146.1,1,11100,17166,-
234,NC_008120.1,1,57848,63927,-
234,NZ_CP009989.1,1,71333,77399,-
234,NC_017155.1,1,57590,63656,-
234,NC_017158.1,1,59386,65452,-
234,NC_017266.1,1,55958,62024,-
234,NZ_CP009843.1,1,30083,36150,+
234,NZ_CP010248.1,1,78142,84208,-
234,NZ_CP019709.1,1,2610,8677,+
234,NZ_CP009904.1,1,2584,8666,-
234,NC_017169.1,1,66591,72658,+
234,NZ_CP045150.1,1,11105,17171,-
234,NZ_CP009784.1,1,3047,9114,+
234,NZ_CP016275.1,1,82425,88491,-
234,NZ_CP045259.1,1,11105,17171,-
233,NZ_CP009702.1,1,32417,51016,+
233,NC_003134.1,1,4610,23209,-
233,NC_014022.1,1,4610,23209,-
233,NZ_CP006790.1,1,24897,43496,+
233,NZ_CP033692.1,1,26373,44938,+
233,NZ_CP006746.1,1,50715,69314,-
233,NC_005815.1,1,4606,22869,-
233,NZ_CP033693.1,1,83048,101639,+
233,NZ_CP045164.1,1,59044,77643,-
233,NZ_CP009722.1,1,75935,94534,-
233,NC_010158.1,1,55557,74144,+
233,NZ_CP045146.1,1,59038,77637,-
233,NC_008120.1,1,4612,23211,-
233,NZ_CP009989.1,1,19981,38580,-
233,NC_017155.1,1,4610,23209,-
233,NC_017158.1,1,4610,23209,-
233,NC_017266.1,1,4606,23205,-
233,NZ_CP010248.1,1,19716,38315,-
233,NZ_CP019709.1,1,13619,32148,-
233,NZ_CP009904.1,1,45816,64415,-
233,NC_017169.1,1,77597,96210,-
233,NZ_CP045150.1,1,59044,77643,-
233,NZ_CP009784.1,1,14053,32652,-
233,NZ_CP016275.1,1,58886,77485,+
233,NZ_CP045259.1,1,59043,77642,-
232,NZ_CP009702.1,1,19276,30658,+
232,NC_003134.1,1,24901,36279,-
232,NC_014022.1,1,24901,36280,-
232,NZ_CP006790.1,1,11759,23138,+
232,NZ_CP033692.1,1,13234,24614,+
232,NZ_CP006746.1,1,71069,82461,-
232,NC_005815.1,1,24624,36004,-
232,NZ_CP033693.1,1,69906,81289,+
232,NZ_CP045164.1,1,79402,90782,-
232,NZ_CP009722.1,1,1,11394,-
232,NC_010158.1,1,42493,53871,+
232,NZ_CP045146.1,1,79392,90772,-
232,NC_008120.1,1,24903,36285,-
232,NZ_CP009989.1,1,40339,51722,-
232,NC_017155.1,1,24901,36280,-
232,NC_017158.1,1,24901,36279,-
232,NC_017266.1,1,24964,36347,-
232,NZ_CP010248.1,1,40070,51462,-
232,NZ_CP019709.1,1,33907,45287,-
232,NZ_CP009904.1,1,66107,77489,-
232,NC_017169.1,1,1678,13056,-
232,NZ_CP045150.1,1,79398,90777,-
232,NZ_CP009784.1,1,34344,45722,-
232,NZ_CP016275.1,1,45817,57194,+
232,NZ_CP045259.1,1,79397,90777,-
231,NC_003143.1,1,2555153,2560551,+
231,NZ_CP009723.1,1,1368964,1374362,-
231,NZ_CP009723.1,1,1377706,1383105,-
231,NZ_CP016273.1,1,2188755,2194153,+
231,NZ_CP016273.1,1,2197497,2202895,+
231,NZ_CP009785.1,1,3105772,3111170,-
231,NZ_CP009785.1,1,3111203,3116601,-
231,NC_017168.1,1,3201861,3207259,-
231,NZ_CP019708.1,1,3291,8655,-
231,NZ_CP019708.1,1,4650327,4655691,-
231,NZ_CP009844.1,1,2068885,2074282,-
230,NC_017154.1,1,793529,803052,+
230,NC_003143.1,1,799749,809296,+
230,NZ_CP009723.1,1,3127823,3137377,-
230,NZ_CP016273.1,1,533527,543074,+
230,NZ_CP064125.1,1,795874,805382,+
230,NZ_CP045145.1,1,3814931,3824475,-
230,NZ_CP045258.1,1,3724319,3733828,-
230,NZ_CP064127.1,1,3065374,3074832,-
230,NZ_CP009785.1,1,198237,207778,-
230,NC_017168.1,1,295996,305543,-
230,NZ_CP010247.1,1,2041506,2050986,+
230,NC_005810.1,1,3387111,3396605,+
230,NC_017160.1,1,795687,805227,+
230,NZ_CP019708.1,1,1637794,1647248,+
230,NC_014029.1,1,851349,860889,+
230,NC_008150.1,1,3383565,3393091,-
230,NZ_CP009844.1,1,3819642,3829175,-
230,NZ_CP045149.1,1,3490568,3500059,+
230,NC_010159.1,1,212390,221805,-
230,NZ_CP009906.1,1,1772155,1781681,-
230,NZ_CP006748.1,1,2004068,2013534,-
230,NZ_CP064124.1,1,3501422,3510938,+
229,NZ_CP033690.1,1,4616292,4636496,+
229,NC_017154.1,1,3577223,3597442,+
229,NC_003143.1,1,3584435,3604654,+
229,NZ_CP009723.1,1,324964,345183,-
229,NZ_CP016273.1,1,3226785,3247004,+
229,NZ_CP064125.1,1,917340,937559,-
229,NZ_CP045145.1,1,1050066,1070285,-
229,NZ_CP009991.1,1,3332121,3353050,-
229,NZ_CP045258.1,1,3592213,3612432,+
229,NZ_CP064120.1,1,3318441,3338660,+
229,NZ_CP064127.1,1,422956,443181,-
229,NZ_CP009785.1,1,2060032,2080251,-
229,NC_017168.1,1,2157313,2177532,-
229,NZ_CP010247.1,1,171743,191962,+
229,NC_005810.1,1,753664,773883,-
229,NC_017160.1,1,3561120,3581339,+
229,NZ_CP019708.1,1,3610029,3630213,-
229,NZ_CP064117.1,1,3423781,3444000,+
229,NZ_CP006792.1,1,4270485,4290704,-
229,NC_014029.1,1,3634922,3655141,+
229,NC_008150.1,1,3016113,3036332,+
229,NZ_CP009844.1,1,1617721,1637940,+
229,NZ_CP045149.1,1,803315,823534,-
229,NC_010159.1,1,3503317,3523564,+
229,NZ_CP009906.1,1,1403098,1423317,+
229,NZ_CP006748.1,1,3858263,3878482,-
229,NZ_CP009704.1,1,1914834,1935763,+
229,NZ_CP064124.1,1,1136484,1156703,+
229,NZ_CP045163.1,1,3375080,3395299,+
229,NC_017265.1,1,3376065,3396994,+
228,NZ_CP033690.1,1,4609444,4615583,+
228,NC_017154.1,1,3571085,3577221,+
228,NC_003143.1,1,3578297,3584433,+
228,NZ_CP009723.1,1,345184,351320,-
228,NZ_CP016273.1,1,3220647,3226783,+
228,NZ_CP064125.1,1,937560,943696,-
228,NZ_CP045145.1,1,1070286,1076422,-
228,NZ_CP009991.1,1,3353759,3359904,-
228,NZ_CP045258.1,1,3586075,3592211,+
228,NZ_CP064120.1,1,3312303,3318439,+
228,NZ_CP064127.1,1,443182,449318,-
228,NZ_CP009785.1,1,2080252,2086388,-
228,NC_017168.1,1,2177533,2183669,-
228,NZ_CP010247.1,1,165605,171741,+
228,NC_005810.1,1,773884,780020,-
228,NC_017160.1,1,3554982,3561118,+
228,NZ_CP019708.1,1,3630214,3636349,-
228,NZ_CP064117.1,1,3417643,3423779,+
228,NZ_CP006792.1,1,4290705,4296841,-
228,NC_014029.1,1,3628784,3634920,+
228,NC_008150.1,1,3009975,3016111,+
228,NZ_CP009844.1,1,1611583,1617719,+
228,NZ_CP045149.1,1,823535,829671,-
228,NC_010159.1,1,3497179,3503315,+
228,NZ_CP009906.1,1,1396960,1403096,+
228,NZ_CP006748.1,1,3878483,3884619,-
228,NZ_CP009704.1,1,1907980,1914125,+
228,NZ_CP064124.1,1,1130346,1136482,+
228,NZ_CP045163.1,1,3368942,3375078,+
228,NC_017265.1,1,3369211,3375356,+
227,NZ_CP033690.1,1,4597422,4607123,+
227,NC_017154.1,1,3559063,3568764,+
227,NC_003143.1,1,3564316,3574017,+
227,NZ_CP009723.1,1,355601,365301,-
227,NZ_CP016273.1,1,3206667,3216368,+
227,NZ_CP064125.1,1,946018,955718,-
227,NZ_CP045145.1,1,1078744,1088444,-
227,NZ_CP009991.1,1,3364180,3373880,-
227,NZ_CP045258.1,1,3574053,3583754,+
227,NZ_CP064120.1,1,3300422,3310123,+
227,NZ_CP064127.1,1,451640,461322,-
227,NZ_CP009785.1,1,2090669,2100369,-
227,NC_017168.1,1,2187950,2197650,-
227,NZ_CP010247.1,1,153583,163284,+
227,NC_005810.1,1,782201,791901,-
227,NC_017160.1,1,3542960,3552661,+
227,NZ_CP019708.1,1,3640628,3650328,-
227,NZ_CP064117.1,1,3405762,3415463,+
227,NZ_CP006792.1,1,4299022,4308738,-
227,NC_014029.1,1,3616762,3626463,+
227,NC_008150.1,1,2995994,3005685,+
227,NZ_CP009844.1,1,1597601,1607302,+
227,NZ_CP045149.1,1,831993,841693,-
227,NC_010159.1,1,3485449,3495123,+
227,NZ_CP009906.1,1,1382980,1392671,+
227,NZ_CP006748.1,1,3886941,3897351,-
227,NZ_CP009704.1,1,1894004,1903705,+
227,NZ_CP064124.1,1,1118324,1128025,+
227,NZ_CP045163.1,1,3357061,3366762,+
227,NC_017265.1,1,3355235,3364936,+
226,NZ_CP033690.1,1,4583060,4590475,+
226,NC_017154.1,1,3544700,3552116,+
226,NC_003143.1,1,3549242,3556657,+
226,NZ_CP009723.1,1,372961,380376,-
226,NZ_CP016273.1,1,3191594,3199009,+
226,NZ_CP064125.1,1,963378,970792,-
226,NZ_CP045145.1,1,1095373,1102788,-
226,NZ_CP009991.1,1,3380827,3388242,-
226,NZ_CP045258.1,1,3558980,3566394,+
226,NZ_CP064120.1,1,3286061,3293476,+
226,NZ_CP064127.1,1,468979,476372,-
226,NZ_CP009785.1,1,2108029,2115444,-
226,NC_017168.1,1,2205310,2212725,-
226,NZ_CP010247.1,1,139244,146639,+
226,NC_005810.1,1,798848,806283,-
226,NC_017160.1,1,3526660,3534055,+
226,NZ_CP019708.1,1,3657276,3664691,-
226,NZ_CP064117.1,1,3391401,3398816,+
226,NZ_CP006792.1,1,4316380,4323795,-
226,NC_014029.1,1,3601688,3609103,+
226,NC_008150.1,1,2981632,2989047,+
226,NZ_CP009844.1,1,1582527,1589942,+
226,NZ_CP045149.1,1,849353,856767,-
226,NC_010159.1,1,3598345,3605739,+
226,NZ_CP009906.1,1,1368618,1376033,+
226,NZ_CP006748.1,1,3904296,3911691,-
226,NZ_CP009704.1,1,1879643,1887058,+
226,NZ_CP064124.1,1,1103922,1111377,+
226,NZ_CP045163.1,1,3342699,3350114,+
226,NC_017265.1,1,3340874,3348289,+
225,NZ_CP033690.1,1,4576260,4582351,+
225,NC_017154.1,1,3537901,3543992,+
225,NC_003143.1,1,3542442,3548533,+
225,NZ_CP009723.1,1,381085,387176,-
225,NZ_CP016273.1,1,3184794,3190885,+
225,NZ_CP064125.1,1,972212,978303,-
225,NZ_CP045145.1,1,1104208,1110299,-
225,NZ_CP009991.1,1,3388951,3395042,-
225,NZ_CP045258.1,1,3551470,3557561,+
225,NZ_CP064120.1,1,3279240,3285352,+
225,NZ_CP064127.1,1,477081,483172,-
225,NZ_CP009785.1,1,2116152,2122243,-
225,NC_017168.1,1,2213434,2219525,-
225,NZ_CP010247.1,1,132444,138535,+
225,NC_005810.1,1,806992,813083,-
225,NC_017160.1,1,3519860,3525951,+
225,NZ_CP019708.1,1,3665400,3671485,-
225,NZ_CP064117.1,1,3384580,3390692,+
225,NZ_CP006792.1,1,4324504,4330595,-
225,NC_014029.1,1,3594888,3600979,+
225,NC_008150.1,1,2974112,2980212,+
225,NZ_CP009844.1,1,1575727,1581818,+
225,NZ_CP045149.1,1,858187,864278,-
225,NC_010159.1,1,3347274,3353386,-
225,NZ_CP009906.1,1,1361107,1367198,+
225,NZ_CP006748.1,1,3912400,3918491,-
225,NZ_CP009704.1,1,1872843,1878934,+
225,NZ_CP064124.1,1,1097122,1103213,+
225,NZ_CP045163.1,1,3335188,3341279,+
225,NC_017265.1,1,3334074,3340165,+
224,NZ_CP033690.1,1,4566288,4575548,+
224,NC_017154.1,1,3527929,3537189,+
224,NC_003143.1,1,3532470,3541730,+
224,NZ_CP009723.1,1,387888,397147,-
224,NZ_CP016273.1,1,3174822,3184082,+
224,NZ_CP064125.1,1,979015,988274,-
224,NZ_CP045145.1,1,1111011,1120270,-
224,NZ_CP009991.1,1,3395754,3405013,-
224,NZ_CP045258.1,1,3541498,3550758,+
224,NZ_CP064120.1,1,3267330,3276590,+
224,NZ_CP064127.1,1,483883,493142,-
224,NZ_CP009785.1,1,2122955,2132214,-
224,NC_017168.1,1,2220237,2229496,-
224,NZ_CP010247.1,1,122473,131733,+
224,NC_005810.1,1,813795,823054,-
224,NC_017160.1,1,3509888,3519148,+
224,NZ_CP019708.1,1,3672197,3681456,-
224,NZ_CP064117.1,1,3372670,3381930,+
224,NZ_CP006792.1,1,4331307,4340566,-
224,NC_014029.1,1,3584916,3594176,+
224,NC_008150.1,1,2964140,2973400,+
224,NZ_CP009844.1,1,1565755,1575015,+
224,NZ_CP045149.1,1,864990,874249,-
224,NC_010159.1,1,3241996,3251271,+
224,NZ_CP009906.1,1,1351135,1360395,+
224,NZ_CP006748.1,1,3919202,3928461,-
224,NZ_CP009704.1,1,1862871,1872131,+
